glider, 3, 3, 0, 0, 1, 0, 2, 0, 2, 1, 1, 2
veritasium, 4, 4, 0, 0, 1, 0, 1, 1, 2, 1, 2, 2, 2, 3, 3, 3 
tetris repeat, 3, 2, 0, 1, 1, 1, 2, 1, 1, 0
still, 5, 5, 0, 4, 0, 3, 1, 4, 2, 3, 3, 2, 4, 1, 4, 0, 3, 0
lightweight space ship, 5, 4, 0, 0, 1, 0, 2, 0, 3, 0, 4, 1, 0, 1, 0, 2, 1, 3, 4, 3
F-pentomino, 3, 3, 0, 1, 1, 0, 1, 1, 1, 2, 2, 0
circular design, 5, 7, 0, 2, 0, 3, 0, 4, 1, 1, 1, 5, 2, 0, 2, 6, 3, 1, 3, 5, 4, 2, 4, 3, 4, 4
Gosper's gliding gun, 36, 9, 0, 4, 0, 5, 1, 4, 1, 5, 10, 4, 10, 5, 10, 6, 11, 3, 11, 7, 12, 2, 12, 8, 13, 2, 13, 8, 14, 5, 15, 3, 15, 7, 16, 4, 16, 5, 16, 6, 17, 5, 20, 2, 20, 3, 20, 4, 21, 2, 21, 3, 21, 4, 22, 1, 22, 5, 24, 0, 24, 1, 24, 5, 24, 6, 34, 2, 34, 3, 35, 2, 35, 3
